Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
Demon1,1.23,246.0,1.39,0.73,166.4,0.92,0.17,0.15,0.09,40.0,15.0,421,302,80,69,41,0.658,37.99,0.342
keznit,1.19,266.0,1.13,0.68,175.8,0.88,0.23,0.21,0.09,20.0,18.0,79,70,21,19,8,0.778,52.911,0.222
Leo,1.17,206.1,1.37,0.82,138.3,0.74,0.44,0.05,0.03,27.0,17.0,201,147,119,13,8,0.544,34.078,0.456
Alfajer,1.17,232.4,1.39,0.73,158.4,0.86,0.13,0.13,0.09,28.0,11.0,233,168,36,34,23,0.622,37.585,0.378
Less,1.16,227.7,1.21,0.73,149.5,0.81,0.19,0.1,0.07,24.0,18.0,416,344,100,51,35,0.668,36.413,0.332
AAAAY,1.15,231.3,1.33,0.73,147.4,0.89,0.19,0.01,0.07,39.0,18.0,76,57,16,1,6,0.671,22.224,0.329
aspas,1.15,235.4,1.26,0.76,153.8,0.87,0.16,0.19,0.11,25.0,20.0,446,355,82,96,56,0.689,32.557,0.311
Cloud,1.14,216.3,1.11,0.75,139.9,0.76,0.39,0.11,0.09,35.0,45.0,123,111,62,18,14,0.689,32.943,0.311
cauanzin,1.13,217.3,1.12,0.76,137.0,0.76,0.4,0.12,0.08,25.0,9.0,391,348,207,60,41,0.676,30.709,0.324
MrFaliN,1.11,209.7,1.12,0.72,141.6,0.74,0.34,0.04,0.06,25.0,21.0,160,143,74,9,14,0.662,37.896,0.338
Victor,1.11,229.4,1.07,0.76,147.7,0.82,0.19,0.17,0.12,26.0,14.0,106,99,25,17,12,0.762,33.546,0.238
SUYGETSU,1.1,193.5,1.2,0.75,130.2,0.73,0.17,0.08,0.04,32.0,18.0,148,123,34,16,8,0.603,28.631,0.397
jawgemo,1.1,228.1,1.11,0.74,146.7,0.79,0.34,0.12,0.12,19.0,12.0,362,325,154,57,57,0.708,36.286,0.292
d4v41,1.08,192.8,1.07,0.77,127.9,0.68,0.43,0.04,0.03,30.0,17.0,243,227,153,13,9,0.634,32.872,0.366
cNed,1.08,220.8,1.21,0.74,143.5,0.8,0.17,0.12,0.15,28.0,19.0,163,135,34,24,31,0.662,31.637,0.338
something,1.08,210.1,1.1,0.72,134.2,0.75,0.2,0.18,0.14,22.0,12.0,269,245,73,64,50,0.684,29.004,0.316
s0m,1.08,180.2,1.07,0.75,117.4,0.68,0.41,0.07,0.05,28.0,13.0,88,82,53,7,5,0.631,22.631,0.369
Sayaplayer,1.08,230.7,1.12,0.66,152.3,0.81,0.12,0.18,0.09,26.0,25.0,105,94,15,23,12,0.729,38.347,0.271
whzy,1.08,254.3,1.17,0.71,160.1,0.89,0.17,0.2,0.16,19.0,4.0,212,181,41,48,37,0.764,34.868,0.236
CHICHOO,1.07,197.9,1.04,0.72,132.5,0.68,0.31,0.04,0.08,22.0,16.0,245,236,110,13,28,0.659,36.69,0.341
Ethan,1.07,193.5,1.0,0.78,125.4,0.66,0.58,0.07,0.08,21.0,31.0,303,303,265,34,36,0.66,32.982,0.34
Derke,1.06,218.4,1.14,0.66,145.7,0.76,0.16,0.22,0.2,24.0,20.0,206,180,44,60,54,0.667,38.885,0.333
MaKo,1.06,190.5,0.97,0.73,120.1,0.65,0.51,0.06,0.05,31.0,20.0,183,189,145,16,13,0.668,29.57,0.332
C0M,1.06,195.7,1.12,0.74,126.5,0.72,0.31,0.07,0.07,21.0,29.0,330,294,144,32,30,0.641,25.846,0.359
