Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
Leo,1.24,209.7,1.38,0.82,135.0,0.75,0.41,0.04,0.02,21.0,19.0,956,693,522,57,30,0.541,30.438,0.459
Alfajer,1.18,221.8,1.38,0.76,148.1,0.82,0.17,0.11,0.07,28.0,15.0,967,702,202,124,86,0.597,32.883,0.403
aspas,1.17,239.0,1.3,0.75,153.5,0.87,0.17,0.17,0.11,25.0,18.0,1307,1002,257,258,172,0.666,31.838,0.334
Monyet,1.15,230.5,1.18,0.75,149.9,0.82,0.41,0.13,0.1,27.0,21.0,382,324,189,62,46,0.697,34.889,0.303
AAAAY,1.15,202.7,1.05,0.73,147.4,0.74,0.27,0.01,0.07,39.0,18.0,313,299,116,1,6,0.704,44.294,0.296
Sayf,1.15,243.8,1.22,0.72,156.5,0.85,0.21,0.17,0.14,23.0,15.0,802,658,202,161,134,0.699,37.307,0.301
kiNgg,1.15,217.8,1.19,0.77,144.2,0.76,0.38,0.1,0.09,29.0,19.0,694,585,347,94,83,0.639,38.014,0.361
something,1.15,218.5,1.24,0.76,138.3,0.79,0.22,0.18,0.13,22.0,18.0,626,506,170,139,99,0.641,27.363,0.359
MaKo,1.15,211.3,1.11,0.76,136.7,0.71,0.51,0.08,0.07,26.0,18.0,1010,911,734,114,101,0.638,37.611,0.362
Less,1.14,226.7,1.22,0.73,150.8,0.8,0.21,0.1,0.08,26.0,18.0,1206,986,320,150,118,0.656,38.539,0.344
Derke,1.13,251.5,1.23,0.7,163.8,0.87,0.18,0.24,0.19,24.0,16.0,1113,902,233,308,244,0.705,42.066,0.295
Demon1,1.13,226.6,1.25,0.71,152.9,0.83,0.17,0.15,0.11,37.0,15.0,1196,958,241,210,151,0.668,36.136,0.332
Chronicle,1.13,207.8,1.14,0.76,133.6,0.72,0.44,0.08,0.07,24.0,15.0,925,810,567,101,90,0.633,32.428,0.367
Shao,1.12,198.4,1.17,0.76,131.2,0.71,0.31,0.07,0.06,35.0,22.0,717,614,313,72,58,0.612,31.12,0.388
keznit,1.11,248.1,1.16,0.71,165.2,0.85,0.22,0.18,0.16,22.0,18.0,746,642,188,156,142,0.735,45.567,0.265
d4v41,1.11,194.2,1.11,0.78,128.7,0.69,0.41,0.06,0.05,27.0,14.0,869,784,519,73,57,0.627,31.45,0.373
s0m,1.11,204.1,1.14,0.77,130.5,0.75,0.39,0.08,0.07,25.0,18.0,1008,884,525,105,98,0.654,26.044,0.346
leaf,1.11,239.1,1.14,0.72,155.2,0.83,0.24,0.19,0.17,23.0,25.0,683,601,200,156,140,0.731,38.874,0.269
invy,1.1,208.1,1.05,0.73,134.8,0.74,0.47,0.08,0.07,32.0,18.0,565,538,358,60,53,0.706,30.994,0.294
trexx,1.1,233.9,1.12,0.73,153.9,0.8,0.31,0.12,0.13,18.0,14.0,467,417,184,71,75,0.713,42.139,0.287
SUYGETSU,1.09,202.1,1.16,0.72,136.3,0.74,0.21,0.08,0.05,33.0,15.0,742,639,211,81,54,0.637,32.731,0.363
Ethan,1.09,197.0,1.02,0.77,124.7,0.67,0.55,0.07,0.06,20.0,20.0,1068,1046,873,113,101,0.657,30.721,0.343
Cloud,1.08,216.0,1.06,0.74,141.8,0.75,0.28,0.11,0.1,29.0,19.0,567,537,210,83,77,0.71,36.8,0.29
crashies,1.08,194.5,1.06,0.77,128.0,0.69,0.4,0.06,0.07,27.0,20.0,934,877,539,77,88,0.649,31.212,0.351
whzy,1.08,250.5,1.14,0.71,160.1,0.86,0.21,0.2,0.16,19.0,4.0,506,442,121,48,37,0.756,39.006,0.244
