Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
keenc,1.35,291.3,1.57,0.78,181.8,1.03,0.2,0.2,0.1,19.0,18.0,2175,1389,428,426,201,0.659,37.35,0.341
enerii,1.29,284.2,1.41,0.77,179.0,1.0,0.24,0.21,0.14,24.0,22.0,2675,1898,641,572,383,0.707,39.417,0.293
Alexy,1.27,248.8,1.38,0.78,163.4,0.89,0.32,0.15,0.1,28.0,22.0,1960,1425,703,321,223,0.646,38.956,0.354
florescent,1.25,280.2,1.37,0.74,180.3,0.99,0.2,0.2,0.14,31.0,18.0,3668,2681,734,746,502,0.722,42.034,0.278
Kohaibi,1.24,239.5,1.36,0.8,162.3,0.86,0.25,0.1,0.08,23.0,17.0,1946,1427,571,233,175,0.634,41.216,0.366
Leo,1.23,222.0,1.28,0.79,145.0,0.79,0.36,0.07,0.05,22.0,15.0,4578,3564,2067,396,250,0.614,34.611,0.386
Ayumiii,1.21,252.1,1.32,0.76,160.7,0.89,0.24,0.18,0.12,22.0,22.0,2712,2052,735,557,365,0.673,36.092,0.327
Joliinaa,1.21,241.4,1.26,0.77,155.5,0.84,0.4,0.1,0.07,23.0,21.0,1613,1282,765,186,132,0.667,37.947,0.333
conir,1.2,239.2,1.28,0.76,157.3,0.85,0.33,0.13,0.08,26.0,12.0,892,695,341,141,87,0.664,38.026,0.336
rubkkoide,1.2,211.3,1.2,0.78,139.2,0.73,0.5,0.07,0.05,30.0,25.0,958,798,649,95,69,0.612,36.347,0.388
purp0,1.19,244.3,1.29,0.74,154.8,0.87,0.21,0.17,0.11,36.0,17.0,2406,1860,573,475,310,0.676,32.357,0.324
Jemkin,1.19,260.8,1.28,0.73,168.6,0.93,0.17,0.2,0.14,30.0,19.0,2048,1597,380,435,302,0.722,38.921,0.278
aspas,1.19,245.6,1.3,0.75,156.5,0.87,0.18,0.16,0.12,26.0,19.0,3386,2605,717,636,447,0.671,34.419,0.329
something,1.19,248.6,1.3,0.74,158.6,0.89,0.2,0.18,0.13,23.0,18.0,1705,1312,376,345,251,0.686,33.757,0.314
shirazi,1.19,222.1,1.24,0.77,144.3,0.78,0.38,0.1,0.07,22.0,21.0,1626,1316,782,208,147,0.633,34.805,0.367
runneR,1.18,251.0,1.21,0.73,160.5,0.86,0.25,0.18,0.13,24.0,18.0,1844,1527,537,380,281,0.713,39.921,0.287
neph,1.18,222.8,1.08,0.74,139.6,0.77,0.21,0.13,0.11,22.0,15.0,889,825,249,150,128,0.71,32.492,0.29
WARDELL,1.18,241.8,1.37,0.74,149.0,0.88,0.15,0.17,0.09,21.0,15.0,4091,2987,684,790,410,0.64,26.358,0.36
Vania,1.18,232.7,1.24,0.78,147.9,0.84,0.42,0.09,0.08,29.0,19.0,1915,1539,959,205,174,0.674,30.518,0.326
bstrdd,1.17,256.2,1.29,0.72,163.9,0.9,0.19,0.2,0.14,27.0,20.0,3456,2683,731,749,533,0.702,37.24,0.298
Mary,1.17,255.4,1.26,0.73,167.2,0.89,0.23,0.17,0.14,31.0,20.0,1137,902,288,215,184,0.71,41.96,0.29
disk0,1.17,226.6,1.22,0.74,147.0,0.8,0.26,0.09,0.07,23.0,15.0,2338,1917,767,255,208,0.657,34.75,0.343
dodonut,1.17,244.3,1.23,0.74,161.4,0.85,0.26,0.14,0.11,22.0,22.0,3887,3168,1184,649,517,0.692,42.531,0.308
NiSMO,1.16,238.6,1.17,0.76,154.1,0.81,0.36,0.13,0.09,25.0,18.0,4797,4096,2095,761,535,0.694,40.254,0.306
SkRossi,1.16,264.0,1.27,0.71,160.7,0.93,0.15,0.23,0.15,25.0,13.0,4870,3828,768,1206,778,0.73,30.635,0.27
cNed,1.16,250.0,1.28,0.72,156.3,0.89,0.17,0.18,0.13,25.0,14.0,5217,4078,974,1035,716,0.699,31.02,0.301
StarBound,1.16,244.5,1.29,0.74,163.1,0.85,0.19,0.12,0.08,18.0,11.0,1297,1003,293,175,118,0.661,43.403,0.339
stew,1.16,236.7,1.25,0.73,145.0,0.84,0.19,0.16,0.08,26.0,16.0,1497,1197,330,125,58,0.675,26.794,0.325
Alluka,1.16,233.1,1.17,0.77,150.6,0.8,0.4,0.12,0.08,21.0,13.0,1846,1574,923,269,186,0.682,38.576,0.318
sScary,1.16,214.8,1.2,0.77,139.1,0.75,0.36,0.07,0.06,21.0,18.0,5021,4177,2431,464,407,0.624,34.027,0.376
yay,1.16,241.9,1.27,0.71,151.8,0.86,0.16,0.19,0.12,27.0,14.0,4703,3705,882,1012,651,0.678,31.299,0.322
MaKo,1.16,213.8,1.17,0.77,137.7,0.74,0.43,0.08,0.07,26.0,16.0,3473,2980,2026,385,345,0.633,34.381,0.367
Verno,1.15,210.4,1.23,0.75,139.2,0.76,0.3,0.07,0.05,24.0,17.0,4858,3934,1881,443,289,0.618,32.414,0.382
madv,1.15,227.6,1.17,0.73,146.3,0.82,0.37,0.1,0.1,40.0,19.0,1205,1031,543,149,151,0.701,31.616,0.299
Shao,1.15,217.1,1.25,0.77,139.5,0.77,0.32,0.08,0.06,30.0,19.0,4956,3979,2071,494,329,0.617,31.861,0.383
ness,1.15,231.7,1.25,0.74,150.6,0.82,0.22,0.12,0.08,27.0,18.0,3021,2426,823,450,302,0.661,35.295,0.339
n1zzy,1.15,237.6,1.19,0.74,152.2,0.83,0.28,0.14,0.11,31.0,16.0,2866,2403,980,476,386,0.695,36.1,0.305
mimi,1.14,215.6,1.21,0.75,142.6,0.78,0.33,0.09,0.07,26.0,16.0,2812,2323,1177,331,263,0.642,33.819,0.358
DEATHMAKER,1.14,249.6,1.26,0.7,161.1,0.89,0.15,0.19,0.14,31.0,13.0,5527,4397,960,1184,894,0.705,36.977,0.295
Akai,1.14,258.1,1.19,0.72,167.3,0.89,0.2,0.19,0.16,25.0,17.0,1292,1084,285,271,230,0.75,42.21,0.25
Chronicle,1.14,223.9,1.17,0.75,144.9,0.77,0.33,0.1,0.09,24.0,15.0,4349,3707,1849,573,523,0.658,36.774,0.342
f0rsakeN,1.14,252.3,1.21,0.73,159.4,0.88,0.24,0.18,0.14,26.0,16.0,5945,4927,1605,1218,968,0.727,36.624,0.273
sociablEE,1.14,257.4,1.2,0.72,164.5,0.88,0.2,0.19,0.14,23.0,12.0,4289,3585,976,930,670,0.738,40.974,0.262
kamo,1.14,263.7,1.24,0.7,171.3,0.93,0.18,0.18,0.16,31.0,15.0,1661,1340,318,317,280,0.751,40.952,0.249
Alfajer,1.14,233.8,1.26,0.74,155.3,0.84,0.18,0.13,0.1,29.0,18.0,3530,2803,767,526,427,0.667,37.717,0.333
Smoke,1.14,237.9,1.26,0.72,152.2,0.85,0.17,0.13,0.07,20.0,16.0,1966,1566,397,299,169,0.676,33.357,0.324
daiki,1.14,212.7,1.18,0.76,137.8,0.75,0.37,0.08,0.07,28.0,19.0,2859,2420,1427,307,256,0.634,33.02,0.366
elllement,1.14,243.9,1.2,0.72,158.6,0.86,0.18,0.17,0.13,27.0,19.0,3111,2589,640,615,445,0.717,37.985,0.283
DaviH,1.14,216.2,1.22,0.75,141.6,0.78,0.32,0.09,0.07,26.0,14.0,1880,1541,778,205,162,0.641,32.07,0.359
Derke,1.14,255.3,1.23,0.71,160.3,0.88,0.19,0.22,0.17,26.0,17.0,5397,4391,1145,1341,1060,0.719,36.637,0.281
Cryocells,1.14,235.9,1.24,0.72,147.7,0.85,0.18,0.16,0.12,24.0,16.0,4265,3441,895,790,584,0.688,28.352,0.312
Monyet,1.14,244.1,1.18,0.73,155.5,0.85,0.24,0.17,0.15,23.0,21.0,3150,2660,894,641,551,0.714,37.079,0.286
aNNja,1.13,234.7,1.19,0.73,153.3,0.84,0.27,0.11,0.1,28.0,13.0,2557,2156,827,346,298,0.707,35.891,0.293
nukkye,1.13,241.3,1.19,0.74,158.1,0.81,0.28,0.12,0.1,21.0,19.0,4385,3689,1537,651,559,0.68,44.918,0.32
Sato,1.13,248.9,1.27,0.71,161.8,0.9,0.13,0.16,0.14,32.0,18.0,1370,1082,204,250,212,0.707,36.441,0.293
Texta,1.13,214.8,1.13,0.73,130.4,0.75,0.34,0.09,0.09,19.0,19.0,2186,1927,977,272,265,0.662,25.232,0.338
JohnOlsen,1.13,244.1,1.21,0.72,155.9,0.86,0.2,0.16,0.13,27.0,15.0,5154,4242,1199,983,784,0.71,35.076,0.29
rawfiul,1.13,251.7,1.23,0.7,159.7,0.89,0.14,0.19,0.14,33.0,16.0,6008,4891,925,1265,923,0.722,35.476,0.278
Sayf,1.13,226.5,1.2,0.72,146.1,0.81,0.21,0.13,0.11,22.0,17.0,4371,3636,1125,720,550,0.674,32.673,0.326
YESicaN,1.13,212.4,1.13,0.77,137.5,0.74,0.37,0.08,0.07,26.0,18.0,3559,3150,1792,388,328,0.658,33.414,0.342
chloric,1.13,220.7,1.13,0.76,145.7,0.75,0.38,0.1,0.09,20.0,14.0,3628,3212,1813,490,425,0.666,40.344,0.334
SyouTa,1.13,228.2,1.18,0.74,149.5,0.81,0.31,0.11,0.1,27.0,14.0,1536,1298,592,206,185,0.685,36.082,0.315
koalanoob,1.13,240.0,1.22,0.72,148.5,0.85,0.18,0.19,0.15,22.0,14.0,5275,4310,1114,1184,909,0.696,29.233,0.304
ScreaM,1.13,252.4,1.24,0.73,161.7,0.87,0.22,0.17,0.12,33.0,13.0,4886,3943,1253,927,653,0.705,39.419,0.295
Sacy,1.13,219.9,1.2,0.76,143.0,0.77,0.37,0.09,0.06,27.0,15.0,3691,3070,1753,429,303,0.641,35.121,0.359
Cloud,1.13,234.8,1.15,0.75,153.0,0.82,0.29,0.12,0.1,29.0,15.0,3912,3389,1378,589,492,0.708,38.542,0.292
Maple,1.13,234.6,1.14,0.76,153.8,0.79,0.32,0.12,0.11,20.0,19.0,2241,1974,918,324,284,0.697,43.016,0.303
eva,1.13,209.9,1.22,0.77,137.9,0.78,0.29,0.07,0.05,28.0,20.0,1881,1542,703,168,121,0.639,28.721,0.361
TenZ,1.13,252.1,1.23,0.72,156.5,0.88,0.25,0.18,0.14,20.0,18.0,5480,4450,1568,1109,798,0.712,33.689,0.288
Bizerra,1.13,223.5,1.14,0.74,149.7,0.77,0.34,0.1,0.08,22.0,19.0,2169,1908,969,290,229,0.676,42.172,0.324
kiNgg,1.13,227.8,1.2,0.75,145.8,0.79,0.31,0.13,0.1,23.0,17.0,3107,2595,1212,510,400,0.657,35.595,0.343
trexx,1.13,239.4,1.17,0.74,156.1,0.81,0.31,0.12,0.11,19.0,17.0,2840,2428,1095,434,384,0.693,42.565,0.307
v1c,1.12,218.3,1.12,0.75,141.9,0.76,0.37,0.09,0.08,26.0,20.0,4763,4234,2304,544,505,0.675,35.566,0.325
Juicy,1.12,237.2,1.2,0.73,152.2,0.84,0.2,0.16,0.14,25.0,16.0,2866,2397,694,559,488,0.7,35.015,0.3
dicey,1.12,222.3,1.18,0.73,142.5,0.8,0.15,0.14,0.09,25.0,14.0,3134,2649,601,532,343,0.676,30.486,0.324
Keiko,1.12,231.0,1.22,0.71,148.2,0.84,0.15,0.18,0.14,28.0,17.0,2124,1748,383,462,366,0.691,30.62,0.309
keznit,1.12,257.8,1.2,0.71,164.0,0.88,0.25,0.18,0.14,22.0,18.0,3451,2884,977,707,564,0.735,40.844,0.265
crazyguy,1.12,218.8,1.14,0.75,144.9,0.75,0.34,0.1,0.1,26.0,19.0,2722,2395,1239,349,357,0.658,40.236,0.342
Demon1,1.12,238.2,1.27,0.72,157.9,0.87,0.14,0.16,0.1,34.0,15.0,2831,2230,468,529,340,0.684,36.398,0.316
skz,1.12,213.3,1.11,0.75,139.4,0.76,0.4,0.08,0.09,29.0,16.0,1065,960,556,111,126,0.685,32.976,0.315
ALIVE,1.12,234.1,1.17,0.71,148.1,0.83,0.16,0.19,0.14,24.0,16.0,4717,4024,908,1074,782,0.705,32.427,0.295
Dobsha,1.12,230.3,1.22,0.71,142.8,0.82,0.16,0.14,0.1,21.0,14.0,1696,1385,331,283,208,0.671,27.817,0.329
iZu,1.12,242.1,1.2,0.74,152.1,0.85,0.19,0.17,0.12,26.0,14.0,861,715,196,168,126,0.706,33.107,0.294
Anq,1.12,237.0,1.16,0.68,149.7,0.83,0.16,0.18,0.16,25.0,17.0,1529,1314,287,333,297,0.717,32.919,0.283
Kyu,1.12,231.2,1.12,0.73,154.1,0.8,0.37,0.09,0.11,26.0,17.0,1213,1080,564,142,161,0.712,42.082,0.288
d4v41,1.12,215.8,1.18,0.76,139.0,0.77,0.29,0.1,0.07,27.0,13.0,5228,4427,2001,665,459,0.652,31.27,0.348
Toki,1.12,258.2,1.2,0.71,166.7,0.89,0.18,0.21,0.16,26.0,19.0,1506,1251,306,358,273,0.738,42.384,0.262
Estrella,1.11,204.3,1.07,0.76,131.2,0.7,0.44,0.07,0.07,29.0,19.0,986,922,619,94,101,0.655,33.091,0.345
zekken,1.11,237.1,1.15,0.73,154.6,0.82,0.29,0.13,0.11,22.0,15.0,5232,4540,1835,825,706,0.709,40.132,0.291
leaf,1.11,245.5,1.13,0.71,156.1,0.84,0.24,0.19,0.17,23.0,21.0,4420,3909,1256,1013,916,0.741,38.859,0.259
sheydos,1.11,217.9,1.23,0.75,141.3,0.78,0.25,0.09,0.06,27.0,15.0,3752,3039,1191,428,291,0.635,31.501,0.365
moose,1.11,206.7,1.14,0.74,136.7,0.73,0.27,0.09,0.08,24.0,16.0,5732,5008,2126,690,596,0.634,35.107,0.366
