Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
florescent,1.43,283.8,1.73,0.74,189.3,1.03,0.19,0.23,0.16,35.0,33.0,232,134,43,52,35,0.596
moose,1.31,266.4,1.54,0.77,173.7,0.96,0.24,0.16,0.1,23.0,22.0,442,287,112,72,45,0.621
sarahcat,1.31,235.8,1.36,0.82,153.5,0.84,0.46,0.08,0.09,27.0,8.0,190,140,103,19,20,0.622
kaho,1.3,259.7,1.5,0.75,174.4,0.93,0.16,0.13,0.09,23.0,25.0,224,149,38,31,22,0.616
chloric,1.27,219.4,1.31,0.77,146.5,0.76,0.35,0.08,0.06,25.0,15.0,378,289,175,41,29,0.581
Jamppi,1.25,240.3,1.37,0.77,152.6,0.91,0.38,0.13,0.06,34.0,5.0,184,134,77,26,13,0.66
Alexy,1.24,223.6,1.31,0.75,145.9,0.81,0.32,0.1,0.05,23.0,20.0,163,124,64,21,10,0.617
zeek,1.23,257.3,1.29,0.76,166.0,0.9,0.33,0.13,0.08,24.0,9.0,339,262,124,49,30,0.695
alexis,1.23,195.3,1.19,0.86,128.4,0.68,0.58,0.08,0.08,29.0,18.0,154,129,131,17,19,0.573
Playboi Joe,1.22,222.6,1.26,0.8,144.4,0.8,0.4,0.07,0.06,21.0,22.0,174,138,88,15,14,0.633
Vuubit,1.22,275.4,1.38,0.75,174.0,1.0,0.2,0.2,0.15,28.0,26.0,289,209,58,59,42,0.723
Lear,1.2,226.4,1.27,0.77,147.6,0.8,0.32,0.11,0.08,22.0,14.0,371,293,148,49,38,0.634
Anima,1.2,227.5,1.19,0.8,153.1,0.78,0.52,0.04,0.06,29.0,15.0,186,156,125,10,15,0.653
Cain,1.19,216.8,1.22,0.76,137.3,0.76,0.42,0.1,0.08,22.0,28.0,351,288,193,46,39,0.626
neptune,1.19,230.1,1.29,0.77,146.0,0.86,0.4,0.13,0.08,34.0,16.0,329,255,151,49,29,0.668
Ali,1.19,230.7,1.16,0.78,149.9,0.78,0.48,0.11,0.07,25.0,20.0,493,426,304,69,47,0.675
Rythm,1.19,228.0,1.35,0.73,160.7,0.82,0.25,0.06,0.07,30.0,12.0,183,136,56,13,15,0.613
musashi,1.18,219.9,1.29,0.73,139.3,0.81,0.38,0.08,0.09,28.0,8.0,296,230,139,31,34,0.627
chiwa,1.18,204.5,1.28,0.73,133.6,0.75,0.26,0.05,0.07,25.0,21.0,275,215,97,19,25,0.586
nk4y,1.18,250.9,1.27,0.74,169.9,0.92,0.17,0.16,0.12,33.0,14.0,254,200,48,43,33,0.725
cavern,1.18,245.0,1.14,0.76,167.2,0.79,0.44,0.1,0.06,16.0,9.0,182,160,101,22,14,0.699
meL,1.18,179.3,1.14,0.8,114.0,0.66,0.44,0.06,0.06,23.0,21.0,149,131,100,13,13,0.582
v1c,1.18,220.4,1.24,0.73,143.2,0.78,0.26,0.12,0.06,25.0,18.0,241,194,79,37,19,0.63
xeus,1.17,260.9,1.28,0.74,172.6,0.92,0.2,0.18,0.17,27.0,8.0,220,172,48,42,41,0.72
baddyG,1.17,216.5,1.19,0.74,145.7,0.74,0.37,0.1,0.09,29.0,25.0,273,229,137,37,33,0.624
Leosen,1.17,241.5,1.19,0.72,155.6,0.83,0.3,0.11,0.13,35.0,15.0,221,185,80,30,35,0.698
Spaz,1.17,215.5,1.19,0.77,138.2,0.75,0.45,0.08,0.07,19.0,22.0,552,464,334,56,53,0.631
Bob,1.17,228.6,1.29,0.81,157.8,0.82,0.27,0.07,0.04,32.0,17.0,189,147,61,17,9,0.639
Ruxic,1.17,234.5,1.29,0.76,151.9,0.84,0.34,0.13,0.1,33.0,23.0,181,140,73,29,22,0.648
Feeqn,1.16,239.1,1.2,0.76,157.9,0.84,0.24,0.12,0.08,19.0,19.0,243,202,69,35,22,0.699
Pa1nt,1.16,254.8,1.22,0.74,162.6,0.89,0.17,0.2,0.16,27.0,24.0,615,503,118,141,114,0.726
Kush,1.16,230.4,1.2,0.74,155.8,0.79,0.27,0.1,0.09,32.0,26.0,258,215,89,32,30,0.66
dodonut,1.16,220.4,1.16,0.74,145.3,0.76,0.4,0.08,0.06,25.0,26.0,517,446,269,57,42,0.658
dip,1.16,217.7,1.21,0.76,145.9,0.78,0.35,0.07,0.07,27.0,16.0,374,308,169,36,32,0.639
Gdzin,1.16,254.5,1.25,0.74,164.3,0.88,0.17,0.2,0.16,25.0,11.0,223,178,43,50,40,0.706
happy,1.16,205.6,1.18,0.73,139.1,0.71,0.3,0.05,0.05,24.0,13.0,232,197,98,16,17,0.606
zekken,1.15,243.8,1.18,0.73,161.2,0.83,0.24,0.19,0.2,20.0,12.0,197,167,56,46,48,0.708
sonder,1.15,255.7,1.12,0.72,163.3,0.84,0.32,0.21,0.17,23.0,14.0,359,321,135,90,71,0.75
Cade3k,1.15,246.7,1.26,0.72,161.3,0.88,0.19,0.18,0.15,32.0,25.0,479,379,104,98,80,0.698
WeDid,1.15,204.9,1.21,0.77,139.8,0.75,0.41,0.07,0.05,29.0,17.0,409,339,224,39,29,0.623
sociablEE,1.15,226.5,1.14,0.72,152.1,0.77,0.28,0.17,0.11,28.0,7.0,166,145,60,37,23,0.671
toozy,1.14,203.0,1.12,0.81,133.1,0.69,0.5,0.06,0.06,25.0,17.0,298,266,217,28,24,0.614
