Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Leo
FNC",1280,1.24,209.7,1.38,82%,135.0,0.75,0.41,0.04,0.02,21%,19%,32/167,26,956,693,522,57,30
"Alfajer
FNC",1175,1.18,221.8,1.38,76%,148.1,0.82,0.17,0.11,0.07,28%,15%,26/172,29,967,702,202,124,86
"aspas
LEV",1504,1.17,239.0,1.30,75%,153.5,0.87,0.17,0.17,0.11,25%,18%,28/159,33,1307,1002,257,258,172
"Monyet
PRX",465,1.15,230.5,1.18,75%,149.9,0.82,0.41,0.13,0.10,27%,21%,10/47,39,382,324,189,62,46
"AAAAY
FPX",425,1.15,202.7,1.05,73%,147.4,0.74,0.27,0.01,0.07,39%,18%,3/17,23,313,299,116,1,6
"Sayf
VIT",942,1.15,243.8,1.22,72%,156.5,0.85,0.21,0.17,0.14,23%,15%,15/100,29,802,658,202,161,134
"kiNgg
LEV",915,1.15,217.8,1.19,77%,144.2,0.76,0.38,0.10,0.09,29%,19%,18/96,35,694,585,347,94,83
"something
PRX",790,1.15,218.5,1.24,76%,138.3,0.79,0.22,0.18,0.13,22%,18%,14/77,31,626,506,170,139,99
"MaKo
DRX",1427,1.15,211.3,1.11,76%,136.7,0.71,0.51,0.08,0.07,26%,18%,28/158,24,1010,911,734,114,101
"Less
LOUD",1504,1.14,226.7,1.22,73%,150.8,0.80,0.21,0.10,0.08,26%,18%,35/197,28,1206,986,320,150,118
"Derke
FNC",1280,1.13,251.5,1.23,70%,163.8,0.87,0.18,0.24,0.19,24%,16%,9/57,32,1113,902,233,308,244
"Demon1
NRG",1434,1.13,226.6,1.25,71%,152.9,0.83,0.17,0.15,0.11,37%,15%,26/177,28,1196,958,241,210,151
"Chronicle
FNC",1280,1.13,207.8,1.14,76%,133.6,0.72,0.44,0.08,0.07,24%,15%,14/92,28,925,810,567,101,90
"Shao
NAVI",1003,1.12,198.4,1.17,76%,131.2,0.71,0.31,0.07,0.06,35%,22%,42/187,34,717,614,313,72,58
"keznit
KRÜ",873,1.11,248.1,1.16,71%,165.2,0.85,0.22,0.18,0.16,22%,18%,15/83,29,746,642,188,156,142
"d4v41
PRX",1251,1.11,194.2,1.11,78%,128.7,0.69,0.41,0.06,0.05,27%,14%,26/181,24,869,784,519,73,57
"s0m
NRG",1351,1.11,204.1,1.14,77%,130.5,0.75,0.39,0.08,0.07,25%,18%,23/128,26,1008,884,525,105,98
"leaf
G2",822,1.11,239.1,1.14,72%,155.2,0.83,0.24,0.19,0.17,23%,25%,13/53,27,683,601,200,156,140
"invy
TS",762,1.10,208.1,1.05,73%,134.8,0.74,0.47,0.08,0.07,32%,18%,15/85,30,565,538,358,60,53
"trexx
KOI",585,1.10,233.9,1.12,73%,153.9,0.80,0.31,0.12,0.13,18%,14%,10/71,33,467,417,184,71,75
"SUYGETSU
NAVI",1003,1.09,202.1,1.16,72%,136.3,0.74,0.21,0.08,0.05,33%,15%,22/150,27,742,639,211,81,54
"Ethan
NRG",1591,1.09,197.0,1.02,77%,124.7,0.67,0.55,0.07,0.06,20%,20%,33/168,24,1068,1046,873,113,101
"Cloud
GX",756,1.08,216.0,1.06,74%,141.8,0.75,0.28,0.11,0.10,29%,19%,13/68,30,567,537,210,83,77
"crashies
NRG",1351,1.08,194.5,1.06,77%,128.0,0.69,0.40,0.06,0.07,27%,20%,35/173,33,934,877,539,77,88
"whzy
Toe",585,1.08,250.5,1.14,71%,160.1,0.86,0.21,0.20,0.16,19%,4%,1/24,35,506,442,121,48,37
"CHICHOO
EDG",1002,1.07,202.9,1.12,74%,134.2,0.71,0.29,0.06,0.06,23%,20%,24/121,27,710,634,287,44,50
"cauanzin
LOUD",1504,1.07,206.8,1.05,75%,131.0,0.73,0.39,0.10,0.08,23%,18%,22/125,25,1095,1044,589,152,122
"Fit1nho
GX",756,1.07,219.2,1.13,75%,145.3,0.80,0.24,0.17,0.13,28%,11%,7/64,35,603,533,184,130,98
"Sayaplayer
T1",960,1.07,233.6,1.17,70%,153.6,0.83,0.14,0.19,0.16,26%,22%,20/93,27,801,682,137,179,153
"Victor
NRG",1351,1.07,218.3,1.07,75%,141.1,0.74,0.28,0.13,0.12,21%,19%,25/132,30,1001,937,383,167,154
"ZmjjKK
EDG",1002,1.07,267.1,1.31,69%,155.9,0.95,0.17,0.19,0.16,19%,14%,8/58,32,950,725,173,148,127
"xffero
RRQ",562,1.06,207.7,1.05,73%,132.1,0.73,0.31,0.08,0.05,23%,11%,10/87,29,410,390,174,47,30
"nAts
TL",990,1.06,221.5,1.16,73%,144.4,0.79,0.24,0.09,0.08,28%,10%,11/115,34,782,672,235,92,84
"nzr
LEV",915,1.06,187.2,1.06,77%,122.6,0.65,0.34,0.05,0.05,20%,6%,9/147,25,595,561,310,48,42
"cNed
FUT",1003,1.06,228.5,1.10,71%,148.4,0.80,0.19,0.16,0.14,26%,11%,11/97,28,805,730,192,157,142
