Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"florescent
SR",225,1.43,283.8,1.73,74%,189.3,1.03,0.19,0.23,0.16,35%,33%,3/9,35,232,134,43,52,35
"moose
TTR",462,1.31,266.4,1.54,77%,173.7,0.96,0.24,0.16,0.10,23%,22%,13/59,30,442,287,112,72,45
"sarahcat
SR",225,1.31,235.8,1.36,82%,153.5,0.84,0.46,0.08,0.09,27%,8%,1/13,20,190,140,103,19,20
"kaho
SFU.P",242,1.30,259.7,1.50,75%,174.4,0.93,0.16,0.13,0.09,23%,25%,10/40,31,224,149,38,31,22
"chloric
LV",497,1.27,219.4,1.31,77%,146.5,0.76,0.35,0.08,0.06,25%,15%,10/66,24,378,289,175,41,29
"Jamppi
TL",203,1.25,240.3,1.37,77%,152.6,0.91,0.38,0.13,0.06,34%,5%,1/20,31,184,134,77,26,13
"Alexy
SMG.GC",201,1.24,223.6,1.31,75%,145.9,0.81,0.32,0.10,0.05,23%,20%,5/25,22,163,124,64,21,10
"zeek
GN",377,1.23,257.3,1.29,76%,166.0,0.90,0.33,0.13,0.08,24%,9%,4/43,31,339,262,124,49,30
"alexis
SR",225,1.23,195.3,1.19,86%,128.4,0.68,0.58,0.08,0.08,29%,18%,4/22,19,154,129,131,17,19
"Playboi Joe
TOR",218,1.22,222.6,1.26,80%,144.4,0.80,0.40,0.07,0.06,21%,22%,6/27,19,174,138,88,15,14
"Vuubit
OF",289,1.22,275.4,1.38,75%,174.0,1.00,0.20,0.20,0.15,28%,26%,5/19,29,289,209,58,59,42
"Lear
FCN",462,1.20,226.4,1.27,77%,147.6,0.80,0.32,0.11,0.08,22%,14%,7/51,29,371,293,148,49,38
"Anima
HOWL",239,1.20,227.5,1.19,80%,153.1,0.78,0.52,0.04,0.06,29%,15%,7/46,23,186,156,125,10,15
"Cain
Torc",460,1.19,216.8,1.22,76%,137.3,0.76,0.42,0.10,0.08,22%,28%,14/50,27,351,288,193,46,39
"neptune
FCN",382,1.19,230.1,1.29,77%,146.0,0.86,0.40,0.13,0.08,34%,16%,4/25,29,329,255,151,49,29
"Ali
Feel",631,1.19,230.7,1.16,78%,149.9,0.78,0.48,0.11,0.07,25%,20%,14/71,29,493,426,304,69,47
"Rythm
VLYN",222,1.19,228.0,1.35,73%,160.7,0.82,0.25,0.06,0.07,30%,12%,3/25,29,183,136,56,13,15
"musashi
ACE",367,1.18,219.9,1.29,73%,139.3,0.81,0.38,0.08,0.09,28%,8%,2/26,22,296,230,139,31,34
"chiwa
ACE",367,1.18,204.5,1.28,73%,133.6,0.75,0.26,0.05,0.07,25%,21%,10/48,23,275,215,97,19,25
"nk4y
GG",276,1.18,250.9,1.27,74%,169.9,0.92,0.17,0.16,0.12,33%,14%,5/37,34,254,200,48,43,33
"cavern
MOBAP",229,1.18,245.0,1.14,76%,167.2,0.79,0.44,0.10,0.06,16%,9%,4/45,30,182,160,101,22,14
"meL
SR",225,1.18,179.3,1.14,80%,114.0,0.66,0.44,0.06,0.06,23%,21%,5/24,19,149,131,100,13,13
"v1c
MxS",308,1.18,220.4,1.24,73%,143.2,0.78,0.26,0.12,0.06,25%,18%,6/34,26,241,194,79,37,19
